Flight ID,Date,Gliding Club,Region,Scoring Distance (km),Speed (kph),Completed,Vpoints,Hpoints,Dpoints,Bpoints,Total Score
1,05-03-2010,Lasham Gliding Society,South East,380.0,130.0,False,140.0,50.0,370.0,10.0,570.0
2,25-06-2016,Yorkshire Gliding Club,North West,600.0,190.0,True,160.0,50.0,650.0,10.0,870.0
3,26-03-2021,London Gliding Club,East Midlands,200.0,60.0,False,60.0,10.0,190.0,0.0,260.0
4,16-06-2016,London Gliding Club,East Midlands,330.0,60.0,True,50.0,50.0,260.0,20.0,380.0
5,22-11-2018,London Gliding Club,East Midlands,320.0,130.0,True,130.0,40.0,200.0,10.0,380.0
6,10-04-2010,Buckminster Gliding Club,East Midlands,750.0,160.0,True,170.0,40.0,510.0,10.0,730.0
7,20-08-2015,Cambridge Gliding Centre,East Anglia,360.0,80.0,True,60.0,20.0,200.0,10.0,290.0
8,27-06-2018,Yorkshire Gliding Club,North West,580.0,190.0,True,160.0,0.0,520.0,10.0,690.0
9,25-03-2014,Norfolk Gliding Club,East Anglia,130.0,40.0,False,50.0,30.0,170.0,20.0,270.0
10,18-10-2015,Nympsfield Gliding Club,South West,130.0,50.0,False,40.0,30.0,130.0,20.0,220.0
11,26-05-2023,Portmoak Gliding Club,Scotland,240.0,50.0,True,50.0,30.0,290.0,0.0,370.0
12,24-09-2018,Cotswold Gliding Club,West Midlands,690.0,170.0,True,190.0,40.0,410.0,10.0,650.0
13,27-11-2020,Husbands Bosworth Gliding Club,East Midlands,200.0,90.0,True,100.0,10.0,110.0,10.0,230.0
14,07-09-2015,Gransden Lodge Gliding Club,East Anglia,480.0,90.0,True,100.0,40.0,670.0,10.0,820.0
15,05-11-2014,Yorkshire Gliding Club,North West,160.0,60.0,True,60.0,40.0,130.0,10.0,240.0
16,01-11-2023,Gransden Lodge Gliding Club,East Anglia,180.0,60.0,False,70.0,50.0,190.0,0.0,310.0
17,27-12-2022,London Gliding Club,East Midlands,60.0,20.0,False,20.0,30.0,70.0,0.0,120.0
18,26-03-2013,Portmoak Gliding Club,Scotland,90.0,40.0,False,30.0,20.0,100.0,10.0,160.0
19,11-07-2018,Dunstable Gliding Club,East Midlands,430.0,140.0,True,120.0,20.0,530.0,10.0,680.0
20,30-11-2012,Cotswold Gliding Club,West Midlands,130.0,30.0,False,30.0,0.0,150.0,10.0,190.0
21,26-07-2011,Portmoak Gliding Club,Scotland,380.0,70.0,True,80.0,10.0,230.0,10.0,330.0
22,22-05-2012,London Gliding Club,East Midlands,420.0,130.0,True,140.0,10.0,460.0,20.0,630.0
23,09-06-2019,Cambridge Gliding Centre,East Anglia,340.0,80.0,True,90.0,10.0,290.0,10.0,400.0
24,14-08-2023,Midland Gliding Club,West Midlands,340.0,110.0,False,120.0,20.0,340.0,10.0,490.0
25,28-11-2021,Lasham Gliding Society,South East,320.0,130.0,False,120.0,40.0,400.0,0.0,560.0
26,16-06-2010,Scottish Gliding Centre,Scotland,350.0,70.0,True,60.0,40.0,350.0,20.0,470.0
27,27-09-2018,Scottish Gliding Centre,Scotland,430.0,80.0,True,90.0,50.0,390.0,0.0,530.0
28,30-10-2013,Lasham Gliding Society,South East,320.0,90.0,True,100.0,20.0,190.0,20.0,330.0
29,16-03-2019,Shalbourne Gliding Club,South East,100.0,30.0,True,30.0,30.0,130.0,20.0,210.0
30,05-11-2018,Lasham Gliding Society,South East,390.0,170.0,True,200.0,20.0,200.0,0.0,420.0
31,04-10-2011,Buckminster Gliding Club,East Midlands,140.0,60.0,True,50.0,30.0,140.0,10.0,230.0
32,08-02-2021,Buckminster Gliding Club,East Midlands,110.0,50.0,False,60.0,10.0,130.0,20.0,220.0
33,25-08-2023,Cambridge Gliding Centre,East Anglia,480.0,140.0,True,140.0,40.0,650.0,10.0,840.0
34,29-06-2013,Portmoak Gliding Club,Scotland,190.0,50.0,True,50.0,10.0,210.0,20.0,290.0
35,02-02-2023,London Gliding Club,East Midlands,60.0,30.0,False,30.0,10.0,80.0,10.0,130.0
36,30-08-2014,Portmoak Gliding Club,Scotland,510.0,100.0,True,120.0,50.0,680.0,10.0,860.0
37,07-09-2010,Midland Gliding Club,West Midlands,340.0,90.0,True,80.0,20.0,230.0,10.0,340.0
38,20-04-2014,Lasham Gliding Society,South East,510.0,110.0,True,90.0,30.0,320.0,20.0,460.0
39,21-06-2010,Lasham Gliding Society,South East,570.0,160.0,True,160.0,20.0,370.0,10.0,560.0
40,04-09-2018,Gransden Lodge Gliding Club,East Anglia,430.0,100.0,True,110.0,40.0,580.0,10.0,740.0
41,19-08-2011,Devon & Somerset Gliding Club,South West,510.0,130.0,True,110.0,10.0,610.0,20.0,750.0
42,25-06-2016,Bristol & Gloucestershire Gliding Club,South West,480.0,100.0,True,100.0,30.0,540.0,0.0,670.0
43,17-10-2012,Lasham Gliding Society,South East,240.0,70.0,False,70.0,0.0,160.0,20.0,250.0
44,29-12-2012,Cambridge Gliding Centre,East Anglia,60.0,40.0,False,40.0,10.0,80.0,0.0,130.0
45,29-08-2024,Yorkshire Gliding Club,North West,550.0,120.0,True,120.0,40.0,700.0,10.0,870.0
46,07-10-2011,Nympsfield Gliding Club,South West,370.0,160.0,False,150.0,30.0,230.0,0.0,410.0
47,06-02-2015,Portmoak Gliding Club,Scotland,100.0,30.0,False,30.0,30.0,90.0,10.0,160.0
48,31-12-2021,Yorkshire Gliding Club,North West,50.0,30.0,False,30.0,0.0,60.0,20.0,110.0
49,31-01-2022,Cotswold Gliding Club,West Midlands,90.0,40.0,False,30.0,30.0,130.0,10.0,200.0
50,05-03-2021,Portmoak Gliding Club,Scotland,230.0,110.0,False,110.0,40.0,250.0,10.0,410.0
51,15-10-2022,London Gliding Club,East Midlands,360.0,110.0,False,110.0,0.0,230.0,10.0,350.0
52,05-01-2018,Scottish Gliding Centre,Scotland,110.0,40.0,False,30.0,40.0,100.0,10.0,180.0
53,03-12-2024,Lasham Gliding Society,South East,70.0,30.0,False,30.0,20.0,100.0,20.0,170.0
54,19-01-2017,Cotswold Gliding Club,West Midlands,60.0,20.0,False,20.0,20.0,40.0,20.0,100.0
55,27-02-2010,Midland Gliding Club,West Midlands,120.0,40.0,False,40.0,30.0,100.0,10.0,180.0
56,14-12-2019,Devon & Somerset Gliding Club,South West,130.0,60.0,False,50.0,40.0,170.0,20.0,280.0
57,21-07-2024,Lasham Gliding Society,South East,510.0,140.0,True,130.0,30.0,320.0,20.0,500.0
58,24-12-2020,Portmoak Gliding Club,Scotland,90.0,40.0,True,40.0,40.0,110.0,0.0,190.0
59,23-08-2015,Wolds Gliding Club,East Midlands,560.0,180.0,True,210.0,20.0,300.0,0.0,530.0
60,24-01-2024,Kent Gliding Club,South East,150.0,70.0,False,70.0,40.0,90.0,20.0,220.0
61,15-05-2022,Buckminster Gliding Club,East Midlands,470.0,120.0,True,140.0,0.0,470.0,10.0,620.0
62,03-12-2010,Cambridge Gliding Centre,East Anglia,140.0,90.0,True,80.0,10.0,110.0,0.0,200.0
63,16-07-2011,Devon & Somerset Gliding Club,South West,780.0,240.0,True,200.0,10.0,540.0,10.0,760.0
64,27-01-2022,London Gliding Club,East Midlands,70.0,40.0,False,40.0,30.0,60.0,10.0,140.0
65,07-11-2014,Devon & Somerset Gliding Club,South West,150.0,50.0,False,50.0,40.0,200.0,0.0,290.0
66,16-12-2024,Shalbourne Gliding Club,South East,70.0,20.0,True,20.0,40.0,70.0,0.0,130.0
67,02-01-2010,Lasham Gliding Society,South East,130.0,50.0,True,60.0,10.0,100.0,10.0,180.0
68,20-10-2020,Buckminster Gliding Club,East Midlands,390.0,140.0,False,140.0,10.0,550.0,0.0,700.0
69,06-03-2012,Lasham Gliding Society,South East,360.0,120.0,True,120.0,50.0,480.0,20.0,670.0
70,28-02-2018,Dunstable Gliding Club,East Midlands,100.0,50.0,False,50.0,10.0,80.0,10.0,150.0
71,18-11-2019,Devon & Somerset Gliding Club,South West,290.0,150.0,True,130.0,0.0,160.0,20.0,310.0
72,12-12-2023,Lasham Gliding Society,South East,90.0,50.0,False,40.0,10.0,50.0,20.0,120.0
73,10-02-2013,Cambridge Gliding Centre,East Anglia,120.0,40.0,False,30.0,0.0,100.0,10.0,140.0
74,10-07-2019,Cambridge Gliding Centre,East Anglia,650.0,110.0,True,100.0,0.0,570.0,10.0,680.0
75,05-07-2020,Cambridge Gliding Centre,East Anglia,220.0,40.0,True,40.0,30.0,240.0,20.0,330.0
76,03-04-2018,Portmoak Gliding Club,Scotland,260.0,70.0,True,70.0,10.0,260.0,0.0,340.0
77,09-10-2016,London Gliding Club,East Midlands,360.0,130.0,True,100.0,10.0,290.0,10.0,410.0
78,14-05-2016,Yorkshire Gliding Club,North West,220.0,40.0,True,30.0,10.0,190.0,10.0,240.0
79,09-04-2016,Portmoak Gliding Club,Scotland,270.0,60.0,True,50.0,30.0,400.0,10.0,490.0
80,07-08-2014,Devon & Somerset Gliding Club,South West,470.0,130.0,False,100.0,30.0,410.0,10.0,550.0
81,26-12-2021,Dunstable Gliding Club,East Midlands,60.0,30.0,False,30.0,50.0,70.0,10.0,160.0
82,31-07-2020,London Gliding Club,East Midlands,210.0,40.0,True,40.0,0.0,210.0,10.0,260.0
83,22-07-2016,Yorkshire Gliding Club,North West,270.0,70.0,True,70.0,0.0,260.0,10.0,340.0
84,29-04-2013,Lasham Gliding Society,South East,710.0,160.0,True,170.0,0.0,760.0,20.0,950.0
85,26-03-2024,Cotswold Gliding Club,West Midlands,240.0,60.0,False,60.0,10.0,250.0,10.0,330.0
86,18-12-2023,Scottish Gliding Centre,Scotland,60.0,20.0,False,20.0,0.0,70.0,0.0,90.0
87,26-08-2013,Norfolk Gliding Club,East Anglia,590.0,150.0,True,150.0,50.0,670.0,20.0,890.0
88,15-07-2012,Yorkshire Gliding Club,North West,500.0,90.0,True,80.0,30.0,280.0,10.0,400.0
89,21-04-2017,Cotswold Gliding Club,West Midlands,240.0,70.0,True,60.0,10.0,200.0,10.0,280.0
90,28-11-2022,Kent Gliding Club,South East,400.0,120.0,False,140.0,50.0,460.0,10.0,660.0
91,12-08-2021,Bristol & Gloucestershire Gliding Club,South West,310.0,80.0,True,90.0,20.0,310.0,10.0,430.0
92,09-09-2022,Gransden Lodge Gliding Club,East Anglia,510.0,90.0,True,90.0,10.0,610.0,10.0,720.0
93,19-04-2021,Midland Gliding Club,West Midlands,670.0,150.0,False,120.0,10.0,650.0,0.0,780.0
94,03-06-2021,Cotswold Gliding Club,West Midlands,530.0,110.0,True,100.0,40.0,570.0,20.0,730.0
95,31-12-2011,London Gliding Club,East Midlands,140.0,50.0,True,60.0,50.0,110.0,10.0,230.0
96,06-02-2018,Cotswold Gliding Club,West Midlands,70.0,30.0,False,30.0,30.0,40.0,20.0,120.0
97,02-06-2021,Buckminster Gliding Club,East Midlands,720.0,200.0,True,210.0,30.0,700.0,10.0,950.0
98,06-07-2012,Yorkshire Gliding Club,North West,520.0,110.0,True,120.0,40.0,630.0,10.0,800.0
99,09-08-2019,Gransden Lodge Gliding Club,East Anglia,620.0,110.0,True,100.0,10.0,870.0,10.0,990.0
100,02-04-2014,Buckminster Gliding Club,East Midlands,700.0,210.0,False,210.0,0.0,740.0,10.0,960.0
101,05-10-2011,Norfolk Gliding Club,East Anglia,290.0,110.0,False,100.0,20.0,180.0,0.0,300.0
102,02-09-2020,Lasham Gliding Society,South East,480.0,140.0,True,120.0,30.0,490.0,10.0,650.0
103,08-01-2017,Bristol & Gloucestershire Gliding Club,South West,120.0,60.0,False,50.0,40.0,120.0,10.0,220.0
104,26-01-2020,Cotswold Gliding Club,West Midlands,80.0,50.0,True,40.0,30.0,40.0,10.0,120.0
105,31-10-2023,Devon & Somerset Gliding Club,South West,220.0,60.0,True,70.0,10.0,190.0,10.0,280.0
106,08-08-2017,Cambridge Gliding Centre,East Anglia,540.0,100.0,True,110.0,40.0,400.0,20.0,570.0
107,20-12-2016,Wolds Gliding Club,East Midlands,120.0,50.0,False,50.0,10.0,120.0,0.0,180.0
108,19-03-2021,Portmoak Gliding Club,Scotland,300.0,90.0,True,80.0,50.0,390.0,10.0,530.0
109,16-08-2018,Portmoak Gliding Club,Scotland,230.0,50.0,False,50.0,30.0,300.0,0.0,380.0
110,19-03-2016,Midland Gliding Club,West Midlands,380.0,170.0,True,180.0,20.0,510.0,10.0,720.0
111,24-10-2010,Norfolk Gliding Club,East Anglia,170.0,50.0,True,60.0,0.0,220.0,20.0,300.0
112,22-06-2022,Midland Gliding Club,West Midlands,230.0,40.0,False,40.0,10.0,120.0,10.0,180.0
113,09-06-2016,Husbands Bosworth Gliding Club,East Midlands,660.0,110.0,True,120.0,30.0,750.0,0.0,900.0
114,27-02-2012,London Gliding Club,East Midlands,70.0,40.0,False,40.0,40.0,40.0,0.0,120.0
115,20-05-2011,Scottish Gliding Centre,Scotland,330.0,80.0,True,70.0,40.0,180.0,10.0,300.0
116,13-03-2022,London Gliding Club,East Midlands,140.0,70.0,True,60.0,10.0,110.0,10.0,190.0
117,07-02-2023,Buckminster Gliding Club,East Midlands,70.0,30.0,False,30.0,50.0,100.0,0.0,180.0
118,02-09-2012,Scottish Gliding Centre,Scotland,180.0,30.0,True,30.0,40.0,220.0,10.0,300.0
119,19-05-2011,Wolds Gliding Club,East Midlands,480.0,120.0,True,130.0,0.0,670.0,20.0,820.0
120,17-02-2022,Yorkshire Gliding Club,North West,120.0,60.0,True,50.0,10.0,70.0,10.0,140.0
121,15-06-2018,Lasham Gliding Society,South East,470.0,140.0,True,110.0,40.0,510.0,0.0,660.0
122,12-03-2014,Wolds Gliding Club,East Midlands,310.0,120.0,False,100.0,30.0,440.0,10.0,580.0
