Flight ID,Date,Gliding Club,Region,Scoring Distance (km),Speed (kph),Completed,Vpoints,Hpoints,Dpoints,Bpoints,Total Score
7911,01/01/2010,Bristol & Gloucestershire Gliding Club,South West,100,60,FALSE,70,40,90,10,210
17306,01/01/2010,Norfolk Gliding Club,East Anglia,70,30,FALSE,30,10,40,10,90
20470,01/01/2010,London Gliding Club,East Midlands,120,50,FALSE,60,30,120,20,230
1896,02/01/2010,Scottish Gliding Centre,Scotland,80,40,FALSE,40,10,100,10,160
5905,02/01/2010,Portmoak Gliding Club,Scotland,120,40,FALSE,40,20,110,10,180
8307,02/01/2010,Scottish Gliding Centre,Scotland,80,30,FALSE,40,0,50,10,100
9619,02/01/2010,Lasham Gliding Society,South East,60,40,FALSE,40,50,60,10,160
9711,02/01/2010,London Gliding Club,East Midlands,100,50,TRUE,60,40,120,20,240
13291,02/01/2010,Buckminster Gliding Club,East Midlands,80,50,TRUE,50,50,90,20,210
23204,02/01/2010,Nympsfield Gliding Club,South West,140,80,TRUE,70,40,170,10,290
23758,02/01/2010,Talgarth Gliding Club,South Wales,100,60,FALSE,70,10,70,10,160
3616,03/01/2010,London Gliding Club,East Midlands,140,60,TRUE,70,0,90,20,180
5933,03/01/2010,London Gliding Club,East Midlands,110,50,TRUE,50,20,80,0,150
6618,03/01/2010,London Gliding Club,East Midlands,130,70,FALSE,60,10,150,0,220
12177,03/01/2010,Wolds Gliding Club,East Midlands,70,30,TRUE,40,50,60,10,160
14478,03/01/2010,Gransden Lodge Gliding Club,East Anglia,130,50,FALSE,50,20,120,20,210
16402,03/01/2010,Cotswold Gliding Club,West Midlands,120,40,TRUE,40,30,90,10,170
19589,04/01/2010,London Gliding Club,East Midlands,150,80,FALSE,80,30,170,0,280
22129,04/01/2010,Lasham Gliding Society,South East,70,30,FALSE,30,30,70,20,150
22986,04/01/2010,Talgarth Gliding Club,South Wales,110,40,FALSE,40,50,120,0,210
3601,05/01/2010,Midland Gliding Club,West Midlands,70,40,FALSE,40,10,50,10,110
4753,05/01/2010,Devon & Somerset Gliding Club,South West,60,40,TRUE,40,30,50,20,140
13804,05/01/2010,London Gliding Club,East Midlands,130,50,TRUE,50,30,170,20,270
17808,05/01/2010,Shalbourne Gliding Club,South East,150,80,TRUE,90,40,130,10,270
20594,05/01/2010,Devon & Somerset Gliding Club,South West,90,40,FALSE,30,20,120,20,190
22125,05/01/2010,Lasham Gliding Society,South East,120,40,FALSE,40,20,90,20,170
11695,06/01/2010,Norfolk Gliding Club,East Anglia,150,70,FALSE,60,20,90,0,170
20340,06/01/2010,Buckminster Gliding Club,East Midlands,120,50,TRUE,60,0,90,10,160
21674,06/01/2010,Lasham Gliding Society,South East,90,30,TRUE,30,20,100,0,150
22782,06/01/2010,Scottish Gliding Centre,Scotland,120,40,TRUE,40,40,100,0,180
3843,07/01/2010,Portmoak Gliding Club,Scotland,90,60,FALSE,60,50,120,20,250
5192,07/01/2010,Cambridge Gliding Centre,East Anglia,80,30,FALSE,30,0,80,10,120
8555,07/01/2010,Lasham Gliding Society,South East,120,50,FALSE,40,40,140,20,240
10648,07/01/2010,Yorkshire Gliding Club,North West,90,40,FALSE,40,40,50,0,130
13588,07/01/2010,Devon & Somerset Gliding Club,South West,160,110,FALSE,90,20,80,10,200
15647,07/01/2010,Nympsfield Gliding Club,South West,140,50,FALSE,50,20,100,20,190
19397,07/01/2010,Portmoak Gliding Club,Scotland,50,20,FALSE,20,30,70,10,130
817,08/01/2010,Bristol & Gloucestershire Gliding Club,South West,50,20,TRUE,20,50,40,10,120
1707,08/01/2010,Norfolk Gliding Club,East Anglia,70,30,TRUE,30,30,50,10,120
3357,08/01/2010,Shalbourne Gliding Club,South East,120,60,FALSE,60,20,140,20,240
10340,08/01/2010,Yorkshire Gliding Club,North West,110,60,TRUE,70,30,160,10,270
17638,08/01/2010,Scottish Gliding Centre,Scotland,90,30,TRUE,30,40,50,10,130
24855,08/01/2010,Shalbourne Gliding Club,South East,150,60,FALSE,70,30,210,0,310
118,09/01/2010,Bristol & Gloucestershire Gliding Club,South West,140,50,FALSE,50,0,90,10,150
852,09/01/2010,Lasham Gliding Society,South East,90,30,TRUE,30,10,90,10,140
6552,09/01/2010,London Gliding Club,East Midlands,120,40,FALSE,50,10,110,10,180
8909,09/01/2010,Yorkshire Gliding Club,North West,70,30,FALSE,30,50,80,10,170
11217,09/01/2010,Lasham Gliding Society,South East,120,80,FALSE,80,50,110,10,250
22087,09/01/2010,Portmoak Gliding Club,Scotland,70,20,TRUE,20,50,60,10,140
161,10/01/2010,Bristol & Gloucestershire Gliding Club,South West,110,70,FALSE,80,30,80,10,200
502,10/01/2010,Cambridge Gliding Centre,East Anglia,60,20,TRUE,20,40,90,10,160
17883,10/01/2010,Yorkshire Gliding Club,North West,60,20,FALSE,20,50,40,0,110
20416,10/01/2010,Buckminster Gliding Club,East Midlands,100,50,FALSE,50,40,60,10,160
24804,10/01/2010,Bristol & Gloucestershire Gliding Club,South West,80,50,TRUE,60,10,80,0,150
25084,10/01/2010,Husbands Bosworth Gliding Club,East Midlands,90,40,FALSE,40,30,60,0,130
22468,11/01/2010,Lasham Gliding Society,South East,50,20,FALSE,20,30,50,10,110
20343,12/01/2010,Wolds Gliding Club,East Midlands,60,20,FALSE,20,30,50,10,110
22423,12/01/2010,Yorkshire Gliding Club,North West,90,40,FALSE,40,40,90,10,180
24014,12/01/2010,Bristol & Gloucestershire Gliding Club,South West,80,30,FALSE,30,20,80,10,140
1824,13/01/2010,Wolds Gliding Club,East Midlands,50,20,TRUE,20,40,50,20,130
6871,13/01/2010,London Gliding Club,East Midlands,90,40,FALSE,40,50,60,20,170
8267,13/01/2010,London Gliding Club,East Midlands,100,40,FALSE,40,30,130,10,210
18026,13/01/2010,Lasham Gliding Society,South East,140,60,FALSE,50,30,150,10,240
18743,13/01/2010,Cambridge Gliding Centre,East Anglia,100,50,FALSE,50,30,140,0,220
9681,14/01/2010,Devon & Somerset Gliding Club,South West,160,70,FALSE,60,30,190,0,280
13626,14/01/2010,Lasham Gliding Society,South East,80,40,TRUE,30,10,90,10,140
12018,15/01/2010,Dunstable Gliding Club,East Midlands,140,50,TRUE,40,40,200,0,280
12054,15/01/2010,Scottish Gliding Centre,Scotland,120,50,FALSE,60,50,100,10,220
12695,15/01/2010,Shalbourne Gliding Club,South East,110,50,TRUE,40,30,70,0,140
15865,15/01/2010,Lasham Gliding Society,South East,100,50,TRUE,40,20,130,10,200
16479,15/01/2010,Scottish Gliding Centre,Scotland,40,10,TRUE,10,20,50,20,100
20373,15/01/2010,Buckminster Gliding Club,East Midlands,130,40,FALSE,40,30,80,20,170
21619,15/01/2010,Portmoak Gliding Club,Scotland,110,40,FALSE,40,50,120,10,220
2591,16/01/2010,Husbands Bosworth Gliding Club,East Midlands,90,40,FALSE,30,30,130,20,210
9760,16/01/2010,Buckminster Gliding Club,East Midlands,60,20,FALSE,20,50,70,10,150
2451,17/01/2010,Husbands Bosworth Gliding Club,East Midlands,120,40,FALSE,50,20,170,10,250
2924,17/01/2010,Yorkshire Gliding Club,North West,90,40,FALSE,40,40,90,20,190
24838,17/01/2010,Buckminster Gliding Club,East Midlands,60,40,FALSE,40,30,80,0,150
1208,18/01/2010,Cambridge Gliding Centre,East Anglia,100,60,TRUE,60,20,60,0,140
10078,18/01/2010,Lasham Gliding Society,South East,60,40,TRUE,30,10,30,0,70
10412,18/01/2010,Yorkshire Gliding Club,North West,50,30,FALSE,30,40,70,10,150
17614,18/01/2010,Cotswold Gliding Club,West Midlands,80,30,FALSE,30,50,40,20,140
19948,18/01/2010,Midland Gliding Club,West Midlands,50,20,TRUE,20,10,70,10,110
2855,19/01/2010,Talgarth Gliding Club,South Wales,110,40,TRUE,40,30,70,20,160
4439,19/01/2010,Cambridge Gliding Centre,East Anglia,90,50,FALSE,40,30,50,10,130
4919,19/01/2010,Dunstable Gliding Club,East Midlands,60,40,TRUE,30,10,30,10,80
5641,19/01/2010,Cambridge Gliding Centre,East Anglia,90,40,TRUE,30,20,100,0,150
5932,19/01/2010,Lasham Gliding Society,South East,70,30,FALSE,30,0,80,20,130
6794,19/01/2010,Midland Gliding Club,West Midlands,100,30,TRUE,30,20,140,10,200
16958,19/01/2010,Midland Gliding Club,West Midlands,140,50,TRUE,50,40,200,10,300
10299,20/01/2010,Talgarth Gliding Club,South Wales,130,50,TRUE,40,20,190,10,260
13632,20/01/2010,Cotswold Gliding Club,West Midlands,60,20,FALSE,20,20,50,10,100
19401,20/01/2010,Gransden Lodge Gliding Club,East Anglia,140,70,TRUE,80,30,180,10,300
19621,20/01/2010,Midland Gliding Club,West Midlands,80,30,FALSE,30,20,70,0,120
20431,20/01/2010,Lasham Gliding Society,South East,90,40,TRUE,30,50,50,10,140
21543,20/01/2010,Yorkshire Gliding Club,North West,60,30,FALSE,30,20,70,0,120
25372,20/01/2010,London Gliding Club,East Midlands,60,20,FALSE,20,40,40,20,120
4889,21/01/2010,Kent Gliding Club,South East,80,40,FALSE,40,40,90,10,180
13544,21/01/2010,Bristol & Gloucestershire Gliding Club,South West,130,50,FALSE,50,20,110,20,200
18127,21/01/2010,Cambridge Gliding Centre,East Anglia,100,50,FALSE,60,50,100,10,220
1583,22/01/2010,Lasham Gliding Society,South East,60,40,FALSE,40,30,30,10,110
11133,22/01/2010,Buckminster Gliding Club,East Midlands,90,60,FALSE,70,20,90,10,190
13629,22/01/2010,Cambridge Gliding Centre,East Anglia,140,60,TRUE,70,10,140,10,230
15217,22/01/2010,London Gliding Club,East Midlands,140,90,TRUE,90,30,210,10,340
16392,22/01/2010,London Gliding Club,East Midlands,50,30,FALSE,30,10,60,10,110
3657,23/01/2010,Buckminster Gliding Club,East Midlands,110,50,FALSE,40,40,60,0,140
6139,23/01/2010,Cotswold Gliding Club,West Midlands,110,40,FALSE,40,0,60,10,110
6540,23/01/2010,Husbands Bosworth Gliding Club,East Midlands,80,30,TRUE,40,20,80,0,140
11718,23/01/2010,Norfolk Gliding Club,East Anglia,110,50,FALSE,40,50,110,10,210
14944,23/01/2010,Buckminster Gliding Club,East Midlands,50,30,FALSE,30,30,70,10,140
20735,23/01/2010,Yorkshire Gliding Club,North West,100,30,TRUE,30,30,130,20,210
4651,24/01/2010,Portmoak Gliding Club,Scotland,90,30,TRUE,30,40,50,10,130
5516,24/01/2010,London Gliding Club,East Midlands,70,30,FALSE,30,10,60,10,110
7503,24/01/2010,London Gliding Club,East Midlands,110,40,FALSE,30,40,110,20,200
14774,24/01/2010,Bristol & Gloucestershire Gliding Club,South West,140,70,TRUE,80,40,190,10,320
16780,24/01/2010,Lasham Gliding Society,South East,70,40,FALSE,40,40,70,0,150
17752,24/01/2010,Portmoak Gliding Club,Scotland,110,40,TRUE,30,0,60,0,90
20071,24/01/2010,Buckminster Gliding Club,East Midlands,120,40,FALSE,40,10,80,10,140
21954,24/01/2010,Husbands Bosworth Gliding Club,East Midlands,70,40,TRUE,40,10,50,10,110
25796,24/01/2010,Wolds Gliding Club,East Midlands,120,70,FALSE,80,40,110,0,230
232,25/01/2010,London Gliding Club,East Midlands,90,30,TRUE,30,30,100,0,160
2072,25/01/2010,Wolds Gliding Club,East Midlands,110,70,FALSE,60,0,100,20,180
13036,25/01/2010,Lasham Gliding Society,South East,60,30,TRUE,30,0,30,10,70
19726,25/01/2010,Portmoak Gliding Club,Scotland,60,30,FALSE,30,10,60,10,110
6042,26/01/2010,Norfolk Gliding Club,East Anglia,140,90,FALSE,80,10,110,0,200
8290,26/01/2010,London Gliding Club,East Midlands,120,40,FALSE,40,20,70,10,140
13897,26/01/2010,Lasham Gliding Society,South East,140,60,FALSE,50,30,150,0,230
8382,27/01/2010,Midland Gliding Club,West Midlands,60,40,FALSE,50,10,70,10,140
8844,27/01/2010,Wolds Gliding Club,East Midlands,60,30,FALSE,30,20,60,20,130
12780,27/01/2010,Nympsfield Gliding Club,South West,120,60,TRUE,50,0,150,10,210
13922,27/01/2010,Dunstable Gliding Club,East Midlands,50,30,TRUE,30,30,60,10,130
18538,27/01/2010,Shalbourne Gliding Club,South East,150,80,TRUE,90,40,80,10,220
2670,28/01/2010,Yorkshire Gliding Club,North West,70,40,FALSE,40,40,60,20,160
6561,28/01/2010,Portmoak Gliding Club,Scotland,80,30,TRUE,40,10,80,10,140
6811,28/01/2010,Yorkshire Gliding Club,North West,70,30,FALSE,30,40,80,10,160
18685,28/01/2010,London Gliding Club,East Midlands,90,60,FALSE,50,20,110,10,190
18873,28/01/2010,Scottish Gliding Centre,Scotland,120,50,FALSE,40,20,140,10,210
22204,28/01/2010,Norfolk Gliding Club,East Anglia,130,80,TRUE,90,50,110,10,260
3473,29/01/2010,Yorkshire Gliding Club,North West,100,40,TRUE,40,40,120,20,220
6358,29/01/2010,Shalbourne Gliding Club,South East,60,20,FALSE,20,40,80,20,160
6593,29/01/2010,Talgarth Gliding Club,South Wales,140,60,FALSE,60,50,200,10,320
11917,29/01/2010,Bristol & Gloucestershire Gliding Club,South West,130,80,FALSE,90,20,90,20,220
15015,29/01/2010,Norfolk Gliding Club,East Anglia,110,60,TRUE,50,20,60,20,150
1592,30/01/2010,Cotswold Gliding Club,West Midlands,110,60,TRUE,60,10,160,0,230
15888,30/01/2010,Cambridge Gliding Centre,East Anglia,70,40,FALSE,40,10,90,0,140
15935,30/01/2010,Midland Gliding Club,West Midlands,70,30,FALSE,30,50,70,20,170
19443,30/01/2010,Wolds Gliding Club,East Midlands,100,60,FALSE,60,20,120,10,210
23195,30/01/2010,Yorkshire Gliding Club,North West,120,50,TRUE,60,40,70,20,190
23278,30/01/2010,Bristol & Gloucestershire Gliding Club,South West,80,30,TRUE,30,30,70,10,140
8963,31/01/2010,Husbands Bosworth Gliding Club,East Midlands,120,80,TRUE,70,10,160,10,250
9057,31/01/2010,Bristol & Gloucestershire Gliding Club,South West,110,50,FALSE,50,30,160,10,250
9253,31/01/2010,Bristol & Gloucestershire Gliding Club,South West,130,80,TRUE,90,10,80,10,190
15818,31/01/2010,London Gliding Club,East Midlands,110,50,FALSE,60,50,90,10,210
18430,31/01/2010,Gransden Lodge Gliding Club,East Anglia,60,30,TRUE,30,10,80,10,130
18448,31/01/2010,Devon & Somerset Gliding Club,South West,80,40,TRUE,40,20,80,10,150
23299,31/01/2010,Nympsfield Gliding Club,South West,140,60,FALSE,50,30,180,10,270
24311,31/01/2010,Lasham Gliding Society,South East,50,20,FALSE,20,40,70,10,140
1694,01/02/2010,Buckminster Gliding Club,East Midlands,130,50,FALSE,50,20,190,10,270
21784,01/02/2010,Dunstable Gliding Club,East Midlands,120,70,FALSE,70,30,150,10,260
24467,01/02/2010,Bristol & Gloucestershire Gliding Club,South West,60,30,TRUE,30,30,70,20,150
25030,01/02/2010,Wolds Gliding Club,East Midlands,120,50,TRUE,60,30,120,10,220
5852,02/02/2010,Lasham Gliding Society,South East,70,30,TRUE,30,20,80,10,140
10101,02/02/2010,Bristol & Gloucestershire Gliding Club,South West,130,50,TRUE,50,40,140,0,230
11774,02/02/2010,Buckminster Gliding Club,East Midlands,130,60,FALSE,70,40,70,10,190
15788,02/02/2010,Cambridge Gliding Centre,East Anglia,90,40,FALSE,30,40,90,20,180
18160,02/02/2010,Buckminster Gliding Club,East Midlands,60,40,FALSE,50,30,60,10,150
20004,02/02/2010,Scottish Gliding Centre,Scotland,90,40,FALSE,40,10,120,0,170
2963,03/02/2010,Bristol & Gloucestershire Gliding Club,South West,100,50,FALSE,50,30,80,0,160
11457,03/02/2010,Buckminster Gliding Club,East Midlands,140,50,FALSE,60,30,110,10,210
16385,03/02/2010,Portmoak Gliding Club,Scotland,110,60,TRUE,50,20,90,0,160
22938,03/02/2010,Nympsfield Gliding Club,South West,90,60,FALSE,50,30,90,10,180
3047,04/02/2010,Husbands Bosworth Gliding Club,East Midlands,130,50,TRUE,40,10,180,0,230
10108,04/02/2010,Dunstable Gliding Club,East Midlands,50,20,FALSE,20,40,40,0,100
5362,05/02/2010,London Gliding Club,East Midlands,60,20,FALSE,20,50,80,10,160
6178,05/02/2010,Cotswold Gliding Club,West Midlands,90,40,FALSE,40,40,70,0,150
15887,05/02/2010,London Gliding Club,East Midlands,140,60,FALSE,70,40,190,10,310
23968,05/02/2010,Husbands Bosworth Gliding Club,East Midlands,100,60,TRUE,60,10,80,10,160
2120,06/02/2010,Lasham Gliding Society,South East,100,40,FALSE,40,0,60,20,120
3503,07/02/2010,Scottish Gliding Centre,Scotland,70,30,FALSE,30,20,100,0,150
3947,07/02/2010,Norfolk Gliding Club,East Anglia,80,50,TRUE,60,20,60,10,150
8590,07/02/2010,Kent Gliding Club,South East,70,30,FALSE,30,30,50,10,120
9085,07/02/2010,Wolds Gliding Club,East Midlands,50,20,TRUE,20,50,50,10,130
